# Frequencia	 Amplitude	 frequencia	 Amplitude
3.001336898395721708e-01	-4.190043270763186278e-01	3.001336898395721708e-01	-4.190042752073580568e-01
3.011341354723707786e-01	-4.190042225150497068e-01	3.011341354723707786e-01	-4.190041706052625159e-01
3.021345811051693309e-01	-4.190042947250628425e-01	3.021345811051693309e-01	-4.190042430196414536e-01
3.031350267379678831e-01	-4.190045438587662874e-01	3.031350267379678831e-01	-4.190044923817123346e-01
3.041354723707664909e-01	-4.190049638705168888e-01	3.041354723707664909e-01	-4.190049126056690776e-01
3.051359180035650431e-01	-4.190055423388341915e-01	3.051359180035650431e-01	-4.190054914433558597e-01
3.061363636363636509e-01	-4.190062606151393476e-01	3.061363636363636509e-01	-4.190062105242703394e-01
3.071368092691622032e-01	-4.190070941815329242e-01	3.071368092691622032e-01	-4.190070454958438884e-01
3.081372549019607554e-01	-4.190080130463117447e-01	3.081372549019607554e-01	-4.190079663534282406e-01
3.091377005347593632e-01	-4.190089826199498435e-01	3.091377005347593632e-01	-4.190089385321346671e-01
3.101381461675579154e-01	-4.190099694309946665e-01	3.101381461675579154e-01	-4.190099289339910826e-01
3.111385918003564677e-01	-4.190109472278574776e-01	3.111385918003564677e-01	-4.190109110228110167e-01
3.121390374331550754e-01	-4.190118961688071852e-01	3.121390374331550754e-01	-4.190118643018025391e-01
3.131394830659536277e-01	-4.190127971252816663e-01	3.131394830659536277e-01	-4.190127690455220932e-01
3.141399286987522355e-01	-4.190136293341255591e-01	3.141399286987522355e-01	-4.190136041833581459e-01
3.151403743315507877e-01	-4.190143723450400204e-01	3.151403743315507877e-01	-4.190143491170019163e-01
3.161408199643493400e-01	-4.190150072051099239e-01	3.161408199643493400e-01	-4.190149847802991934e-01
3.171412655971479477e-01	-4.190155173737704075e-01	3.171412655971479477e-01	-4.190154944656954705e-01
3.181417112299465000e-01	-4.190158894176265192e-01	3.181417112299465000e-01	-4.190158644849654168e-01
3.191421568627451077e-01	-4.190161131657683113e-01	3.191421568627451077e-01	-4.190160843442535255e-01
3.201426024955436600e-01	-4.190161832982289836e-01	3.201426024955436600e-01	-4.190161483871259196e-01
3.211430481283422123e-01	-4.190160982215049290e-01	3.211430481283422123e-01	-4.190160548277896968e-01
3.221434937611408200e-01	-4.190158600103940922e-01	3.221434937611408200e-01	-4.190158057224337984e-01
3.231439393939393723e-01	-4.190154738182689798e-01	3.231439393939393723e-01	-4.190154063468059520e-01
3.241443850267379800e-01	-4.190149477886148666e-01	3.241443850267379800e-01	-4.190148650804235153e-01
3.251448306595365323e-01	-4.190142933235409539e-01	3.251448306595365323e-01	-4.190141935738536660e-01
3.261452762923350845e-01	-4.190135254124078834e-01	3.261452762923350845e-01	-4.190134067998733114e-01
3.271457219251336923e-01	-4.190126626534576570e-01	3.271457219251336923e-01	-4.190125230376770538e-01
3.281461675579322446e-01	-4.190117269745499140e-01	3.281461675579322446e-01	-4.190115637188648878e-01
3.291466131907308523e-01	-4.190107431902615476e-01	3.291466131907308523e-01	-4.190105531067095934e-01
3.301470588235294046e-01	-4.190097383286553456e-01	3.301470588235294046e-01	-4.190095176946571631e-01
3.311475044563279568e-01	-4.190087406448518847e-01	3.311475044563279568e-01	-4.190084852951078687e-01
3.321479500891265646e-01	-4.190077784632324498e-01	3.321479500891265646e-01	-4.190074839548404428e-01
3.331483957219251169e-01	-4.190068791441767804e-01	3.331483957219251169e-01	-4.190065409276685360e-01
3.341488413547236691e-01	-4.190060683483010084e-01	3.341488413547236691e-01	-4.190056818346246659e-01
3.351492869875222769e-01	-4.190053695370809517e-01	3.351492869875222769e-01	-4.190049299846742570e-01
3.361497326203208291e-01	-4.190048035321390918e-01	3.361497326203208291e-01	-4.190043057840300289e-01
3.371501782531194369e-01	-4.190043880231575368e-01	3.371501782531194369e-01	-4.190038262092549703e-01
3.381506238859179891e-01	-4.190041370045398117e-01	3.381506238859179891e-01	-4.190035043169497153e-01
3.391510695187165414e-01	-4.190040601682032961e-01	3.391510695187165414e-01	-4.190033487651137478e-01
3.401515151515151492e-01	-4.190041622902336838e-01	3.401515151515151492e-01	-4.190033633422304282e-01
3.411519607843137014e-01	-4.190044426665940347e-01	3.411519607843137014e-01	-4.190035465256718439e-01
3.421524064171123092e-01	-4.190048947208606656e-01	3.421524064171123092e-01	-4.190038911126109933e-01
3.431528520499108614e-01	-4.190055058401491173e-01	3.431528520499108614e-01	-4.190043839927964919e-01
3.441532976827094137e-01	-4.190062574465709955e-01	3.441532976827094137e-01	-4.190050061250297220e-01
3.451537433155080214e-01	-4.190071252814703273e-01	3.451537433155080214e-01	-4.190057327158329126e-01
3.461541889483065737e-01	-4.190080798389936856e-01	3.461541889483065737e-01	-4.190065335736396501e-01
3.471546345811051815e-01	-4.190090870147259450e-01	3.471546345811051815e-01	-4.190073737690666045e-01
3.481550802139037337e-01	-4.190101105788832103e-01	3.481550802139037337e-01	-4.190082161665641403e-01
3.491555258467022860e-01	-4.190111181610601809e-01	3.491555258467022860e-01	-4.190090270518607718e-01
3.501559714795008937e-01	-4.190120855472959094e-01	3.501559714795008937e-01	-4.190097795523777258e-01
3.511564171122994460e-01	-4.190129936874008032e-01	3.511564171122994460e-01	-4.190104513655488194e-01
3.521568627450980538e-01	-4.190138236609741718e-01	3.521568627450980538e-01	-4.190110212468643458e-01
3.531573083778966060e-01	-4.190145563906431114e-01	3.531573083778966060e-01	-4.190114689412194338e-01
3.541577540106951583e-01	-4.190151740177298634e-01	3.541577540106951583e-01	-4.190117754314947596e-01
3.551581996434937660e-01	-4.190156612039408479e-01	3.551581996434937660e-01	-4.190119235584259805e-01
3.561586452762923183e-01	-4.190160058446719682e-01	3.561586452762923183e-01	-4.190118989616428702e-01
3.571590909090908705e-01	-4.190161993852113964e-01	3.571590909090908705e-01	-4.190116911337317673e-01
3.581595365418894783e-01	-4.190162372288092629e-01	3.581595365418894783e-01	-4.190112942071215207e-01
